number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_subsample,state
0,0.940295044025295,2025-05-30 18:15:10.310599,2025-05-30 18:15:34.884632,0 days 00:00:24.574033,0.7352485393519935,2.4734031706399637,4.006774677442096,0.04431997135623208,3,49,18,0.9094647619299749,COMPLETE
1,0.9371209676746732,2025-05-30 18:15:10.310599,2025-05-30 18:16:09.619608,0 days 00:00:59.309009,0.761271891826986,2.472865647968593,4.571149176609727,0.007059870987371868,3,39,51,0.945630869221563,COMPLETE
2,0.9440756830837319,2025-05-30 18:15:10.310599,2025-05-30 18:16:15.145976,0 days 00:01:04.835377,0.8566456955404155,2.9734620842051296,1.491130019484233,0.028719703704467914,17,40,41,0.9068047780184723,COMPLETE
3,0.9461147277185373,2025-05-30 18:15:10.321548,2025-05-30 18:18:02.722813,0 days 00:02:52.401265,0.5411936147326839,0.12724907538762542,4.068780032482867,0.011264096789294067,7,6,66,0.8485045132732913,COMPLETE
4,0.944441807348692,2025-05-30 18:15:10.322550,2025-05-30 18:18:49.041042,0 days 00:03:38.718492,0.8774009529486888,2.840468508682623,3.3305917255273187,0.00735823137110809,11,48,84,0.8903467397079325,COMPLETE
5,0.941583381492302,2025-05-30 18:15:10.323549,2025-05-30 18:16:22.517439,0 days 00:01:12.193890,0.7854193897833908,4.609262025134291,3.0432280593697603,0.03784117580332874,13,8,226,0.6188808012153142,COMPLETE
6,0.9421071822511742,2025-05-30 18:15:10.324549,2025-05-30 18:16:57.842577,0 days 00:01:47.518028,0.8059806635287428,4.972611517196041,2.5378032392132917,0.005411394873771605,5,38,19,0.9519404985308437,COMPLETE
7,0.946898716887018,2025-05-30 18:15:10.325549,2025-05-30 18:18:44.397738,0 days 00:03:34.072189,0.5736343495675054,1.8952983558848753,2.5471429708389177,0.011864588494310905,16,27,53,0.8761439168859937,COMPLETE
8,0.9437867187710702,2025-05-30 18:15:10.326549,2025-05-30 18:16:56.288906,0 days 00:01:45.962357,0.8757106943686783,0.9946933535772046,2.853805349458696,0.03556136481899742,11,30,163,0.5176023017566564,COMPLETE
9,0.9445390736046904,2025-05-30 18:15:10.326549,2025-05-30 18:15:53.219628,0 days 00:00:42.893079,0.8733473467722959,3.3873141080252243,4.29762087106486,0.08225905706159199,16,47,188,0.6235798747139214,COMPLETE
10,0.942168909062369,2025-05-30 18:15:10.326549,2025-05-30 18:16:08.680343,0 days 00:00:58.353794,0.9391795418378079,3.1634041627971743,4.24751245758469,0.011899813493205284,4,50,115,0.9141141639504722,COMPLETE
11,0.94543727348121,2025-05-30 18:15:10.343928,2025-05-30 18:15:32.501144,0 days 00:00:22.157216,0.6445387155665454,3.9337546962819294,0.6171934872396523,0.13955596943190954,10,10,117,0.5970098799758952,COMPLETE
12,0.9477752285943538,2025-05-30 18:15:32.501144,2025-05-30 18:17:23.257002,0 days 00:01:50.755858,0.7274120384928857,1.3329475056267825,3.9949752258111664,0.02545148056581956,18,17,201,0.6469039048561597,COMPLETE
13,0.9418663152599747,2025-05-30 18:15:34.888772,2025-05-30 18:15:42.506622,0 days 00:00:07.617850,0.7009668984837477,4.570542062648153,0.8102646961139703,0.28659398535374403,11,49,100,0.7897246978810208,COMPLETE
14,0.9440085600815656,2025-05-30 18:15:42.506622,2025-05-30 18:16:18.304073,0 days 00:00:35.797451,0.6447329447955217,2.116915494368903,1.2190805032984076,0.03884245105169052,5,9,162,0.8449078421860885,COMPLETE
15,0.9486926307479303,2025-05-30 18:15:53.222628,2025-05-30 18:17:22.160190,0 days 00:01:28.937562,0.6314438099052789,1.8572234417389089,0.2001815632573567,0.028149326790936104,16,37,116,0.7444361918997268,COMPLETE
16,0.9467115642328349,2025-05-30 18:16:08.680343,2025-05-30 18:16:38.293832,0 days 00:00:29.613489,0.5112906469166609,3.1949464840167634,3.8191292168526787,0.07650958071439468,14,34,75,0.6584189025407433,COMPLETE
17,0.9488832477547187,2025-05-30 18:16:09.629612,2025-05-30 18:18:05.931834,0 days 00:01:56.302222,0.590708093095776,1.436055428227313,0.48341490803391285,0.016246364038000848,20,16,129,0.729249313876634,COMPLETE
18,0.9429718393504167,2025-05-30 18:16:15.156038,2025-05-30 18:16:36.897037,0 days 00:00:21.740999,0.9266044469644716,2.605569016757938,4.849483561840572,0.11872146722656793,17,31,135,0.9000850438404933,COMPLETE
19,0.9437394821538676,2025-05-30 18:16:18.304073,2025-05-30 18:18:05.953107,0 days 00:01:47.649034,0.9550909395140381,3.0255774380592637,1.1849456800057678,0.0126017924989519,9,19,196,0.9178745793249519,COMPLETE
20,0.9443616427293502,2025-05-30 18:16:22.517439,2025-05-30 18:16:31.573596,0 days 00:00:09.056157,0.7045334478600277,4.3011487032638245,3.9262534048983126,0.2483981732745052,15,48,40,0.9052912085182626,COMPLETE
21,0.9424179136621517,2025-05-30 18:16:31.573596,2025-05-30 18:16:51.221010,0 days 00:00:19.647414,0.5096020972793807,0.44643791711363434,0.12023585524227526,0.12360403408557807,8,19,254,0.5252499909833761,COMPLETE
22,0.9441926662926032,2025-05-30 18:16:36.899551,2025-05-30 18:16:59.460365,0 days 00:00:22.560814,0.5079413572940658,0.3720651437811955,0.11146018861877871,0.10708670542166326,10,20,190,0.5727238565412798,COMPLETE
23,0.9455803642133326,2025-05-30 18:16:38.293832,2025-05-30 18:17:01.150291,0 days 00:00:22.856459,0.502303900036738,0.2642337511189745,0.07890150332441603,0.11464508117194395,9,18,88,0.5190373459857425,COMPLETE
24,0.9444517231555197,2025-05-30 18:16:51.227017,2025-05-30 18:17:21.682286,0 days 00:00:30.455269,0.5100253230809727,1.496344496362601,2.4330659790872815,0.08153127441412819,10,21,76,0.6784992758283649,COMPLETE
25,0.9479708325785344,2025-05-30 18:16:56.288906,2025-05-30 18:17:30.159183,0 days 00:00:33.870277,0.5189592209896206,3.8117111452219143,2.2856940161206216,0.07920454956436782,20,20,82,0.6775517807054294,COMPLETE
26,0.9474169521452538,2025-05-30 18:16:57.842577,2025-05-30 18:17:21.279226,0 days 00:00:23.436649,0.5215831648885608,3.855907075582727,1.8949315297674882,0.07315386818208554,8,21,94,0.6764351223259879,COMPLETE
27,0.9449063789760002,2025-05-30 18:16:59.462366,2025-05-30 18:17:23.946404,0 days 00:00:24.484038,0.5938617276020041,3.8394414392905527,2.0125106945320494,0.06621585259739943,8,21,80,0.6996059244301486,COMPLETE
28,0.9480522520357264,2025-05-30 18:17:01.150291,2025-05-30 18:17:39.517277,0 days 00:00:38.366986,0.5842466667903269,1.6574647905028042,1.8622338401253917,0.05938753893927364,14,23,82,0.6938949442037889,COMPLETE
29,0.9467429031848471,2025-05-30 18:17:21.281226,2025-05-30 18:17:52.165136,0 days 00:00:30.883910,0.5831035636951236,3.7615496510240476,1.8028253215887575,0.06349255716517987,20,25,74,0.6953631607384794,COMPLETE
30,0.9471802178127348,2025-05-30 18:17:21.692286,2025-05-30 18:18:32.817207,0 days 00:01:11.124921,0.591945066937208,3.7945439763787405,3.607309042466847,0.025028702102708057,19,24,68,0.7276121491152516,COMPLETE
31,0.9481439866116821,2025-05-30 18:17:22.160190,2025-05-30 18:19:44.356010,0 days 00:02:22.195820,0.5828726825790229,1.7285466222797568,1.9890718653031878,0.015601701718060577,20,25,142,0.737325503878294,COMPLETE
32,0.9473709874024365,2025-05-30 18:17:23.260001,2025-05-30 18:18:50.717944,0 days 00:01:27.457943,0.5811795938483136,1.7593615231800173,1.9760142484536376,0.020008480573365583,20,24,147,0.7375159016488947,COMPLETE
33,0.948752900893474,2025-05-30 18:17:23.946404,2025-05-30 18:18:42.697753,0 days 00:01:18.751349,0.5823872147002626,1.8581001437304183,1.7349910389402456,0.021367521049832937,20,26,160,0.7367872829529807,COMPLETE
34,0.9489162376926885,2025-05-30 18:17:30.166444,2025-05-30 18:19:52.339764,0 days 00:02:22.173320,0.574560080719114,1.711831963414939,3.4044974201157836,0.01901738529362351,20,14,148,0.7647417776936182,COMPLETE
35,0.9472856878748303,2025-05-30 18:17:39.525784,2025-05-30 18:19:27.746867,0 days 00:01:48.221083,0.570663150099156,1.8577122562151342,3.398496497769014,0.014988810797037597,20,26,59,0.7454088696377887,COMPLETE
36,0.9485635827514249,2025-05-30 18:17:52.165136,2025-05-30 18:19:32.123433,0 days 00:01:39.958297,0.5706429989101263,1.9015211107071923,3.3533749203634904,0.018256073280268476,20,26,137,0.7600799114955448,COMPLETE
37,0.9474307937966971,2025-05-30 18:18:02.722813,2025-05-30 18:19:40.826282,0 days 00:01:38.103469,0.5758492916297057,1.7347107259820118,3.4183791116390596,0.01927040372387858,20,26,140,0.7520256340782054,COMPLETE
38,0.9466079307446178,2025-05-30 18:18:05.931834,2025-05-30 18:19:42.723035,0 days 00:01:36.791201,0.6304769401473981,1.9144827365933481,0.7970176587027589,0.01824490043708046,13,12,143,0.7454845723617078,COMPLETE
39,0.9471918540996777,2025-05-30 18:18:05.962307,2025-05-30 18:19:46.532573,0 days 00:01:40.570266,0.6439199418376554,1.7279238514209183,0.5896292536395521,0.017111205701755876,13,14,149,0.7381898353994362,COMPLETE
40,0.9465579361082801,2025-05-30 18:18:32.817207,2025-05-30 18:19:54.649584,0 days 00:01:21.832377,0.660296307110966,1.9420827692825606,0.817124009053123,0.022535062159695314,13,15,143,0.7629752228964823,COMPLETE
41,0.948331661491672,2025-05-30 18:18:42.707843,2025-05-30 18:20:16.753159,0 days 00:01:34.045316,0.6491249816687422,1.946498353804122,0.5951584007999274,0.015509194621109211,18,15,151,0.775002517506088,COMPLETE
42,0.9459492984053008,2025-05-30 18:18:44.407906,2025-05-30 18:20:21.289535,0 days 00:01:36.881629,0.6465490163154999,1.7737085548539746,0.5909216471482339,0.021122244414298587,13,14,147,0.7788645576982733,COMPLETE
43,0.9467493665539083,2025-05-30 18:18:49.047603,2025-05-30 18:20:32.708812,0 days 00:01:43.661209,0.6416308542905195,1.7503123472767634,0.6380991791582344,0.018411296350639622,13,13,145,0.763117931355898,COMPLETE
44,0.9477399508248153,2025-05-30 18:18:50.719944,2025-05-30 18:20:20.585696,0 days 00:01:29.865752,0.6429918455553352,0.8817002221157372,0.5754709887566819,0.01856060832897003,13,13,126,0.7946998267494372,COMPLETE
45,0.9475737974900682,2025-05-30 18:19:27.746867,2025-05-30 18:20:37.484966,0 days 00:01:09.738099,0.6501134383607345,0.842872596784179,0.5812460928759822,0.018807875793439868,13,13,120,0.7884852297476173,COMPLETE
46,0.9484511192744561,2025-05-30 18:19:32.123433,2025-05-30 18:20:41.161306,0 days 00:01:09.037873,0.6326496821502714,1.069314816421648,0.49771551557207,0.018461805004340085,18,14,128,0.7815644523698925,COMPLETE
47,0.9470922612732245,2025-05-30 18:19:40.826282,2025-05-30 18:20:42.624488,0 days 00:01:01.798206,0.6313749181401598,2.233657356427014,0.5824229347132026,0.018116074108481355,18,13,121,0.7843086480290267,COMPLETE
