number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_subsample,state
0,0.9490721876391953,2025-05-30 18:34:30.932428,2025-05-30 18:34:58.400323,0 days 00:00:27.467895,0.5600258549345154,1.8957738566160405,2.157726341376827,0.10979279270934013,19,22,95,0.8132603066255407,COMPLETE
1,0.9464914865424146,2025-05-30 18:34:30.933432,2025-05-30 18:35:08.030160,0 days 00:00:37.096728,0.6327405827795256,2.2053416186765586,3.611803777083274,0.06952272074110113,19,35,136,0.8614475165805039,COMPLETE
2,0.9433957046539346,2025-05-30 18:34:30.934431,2025-05-30 18:35:05.080362,0 days 00:00:34.145931,0.6163813262831243,0.1334084572752975,3.76780582086971,0.03582529866280286,5,8,207,0.8235728588322524,COMPLETE
3,0.943577332404567,2025-05-30 18:34:30.935498,2025-05-30 18:36:25.108688,0 days 00:01:54.173190,0.782268401081337,4.1367410024066595,1.201653394950356,0.013211039012126835,14,45,31,0.8362237824152674,COMPLETE
4,0.9401143161011,2025-05-30 18:34:30.937498,2025-05-30 18:34:44.888916,0 days 00:00:13.951418,0.6414755037284663,2.238181738734501,0.127325991916038,0.24359556566856486,8,14,249,0.6477151157674295,COMPLETE
5,0.9447977314303335,2025-05-30 18:34:30.937498,2025-05-30 18:35:46.709153,0 days 00:01:15.771655,0.6360424769021613,0.8834932782476534,0.2825413878881411,0.031123188336306375,9,23,72,0.5494231392929002,COMPLETE
6,0.9452922787599528,2025-05-30 18:34:30.937498,2025-05-30 18:34:42.459831,0 days 00:00:11.522333,0.5968318395125718,2.093858854005994,0.22340459597138318,0.24720392209173628,11,38,154,0.8566192309743881,COMPLETE
7,0.9393336303998016,2025-05-30 18:34:30.938497,2025-05-30 18:36:22.378216,0 days 00:01:51.439719,0.9851718503782874,3.2278383697622686,2.6741888544487398,0.015996175809858557,10,44,59,0.5486809768531108,COMPLETE
8,0.9413753347564657,2025-05-30 18:34:30.939970,2025-05-30 18:37:45.589534,0 days 00:03:14.649564,0.9264661576238492,2.3958498633446905,2.084866096564268,0.014690757154886028,10,27,159,0.7481963859703475,COMPLETE
9,0.9410224099726285,2025-05-30 18:34:30.940571,2025-05-30 18:35:03.186571,0 days 00:00:32.246000,0.8229720508610868,2.35696465724919,3.8362989564294816,0.09747178571454576,20,24,108,0.7122378781827912,COMPLETE
10,0.936190636718712,2025-05-30 18:34:30.941573,2025-05-30 18:34:44.240867,0 days 00:00:13.299294,0.8592023909291551,3.1390313270501307,4.832984196679694,0.24112837345334645,16,50,115,0.9521698091883388,COMPLETE
11,0.9349112348539957,2025-05-30 18:34:30.941573,2025-05-30 18:34:47.951425,0 days 00:00:17.009852,0.7304894407903191,0.38219992863028907,2.7809378937571094,0.2230317552766706,6,6,241,0.9855004160589628,COMPLETE
12,0.940297474399609,2025-05-30 18:34:42.465257,2025-05-30 18:36:27.433815,0 days 00:01:44.968558,0.9947340569819877,2.923250630949066,1.187118567476912,0.009687489649250215,5,44,134,0.8477859346940625,COMPLETE
13,0.9475400587678742,2025-05-30 18:34:44.240867,2025-05-30 18:36:17.400809,0 days 00:01:33.159942,0.5817481819342942,3.8279819755448075,3.315868344833145,0.023022404717259973,16,49,124,0.9830548986806493,COMPLETE
14,0.9432068109032518,2025-05-30 18:34:44.898423,2025-05-30 18:35:42.348182,0 days 00:00:57.449759,0.7395145686342288,4.0298233888470945,1.729468889063091,0.03969792667732764,13,17,28,0.9196109641405616,COMPLETE
15,0.9446829625637656,2025-05-30 18:34:47.961616,2025-05-30 18:35:13.603721,0 days 00:00:25.642105,0.6711953227118005,2.2201607092034155,2.5750600160411183,0.0910971719190056,9,39,136,0.5290828022672722,COMPLETE
16,0.9467018813330895,2025-05-30 18:34:58.410433,2025-05-30 18:35:38.111411,0 days 00:00:39.700978,0.6479803091900511,0.10772727616354616,1.2095584406006217,0.08159083884768098,13,41,137,0.7010427459831114,COMPLETE
17,0.9485684109210993,2025-05-30 18:35:03.196571,2025-05-30 18:35:20.937762,0 days 00:00:17.741191,0.5320275835050094,3.3528312934651767,2.1827453293686534,0.08803246423153506,5,22,32,0.971809803959149,COMPLETE
18,0.9449960427466921,2025-05-30 18:35:05.082633,2025-05-30 18:38:43.275866,0 days 00:03:38.193233,0.7129968987287045,0.04034312104602367,3.614775559997494,0.008207202699338468,19,35,87,0.759183061065192,COMPLETE
19,0.948198170174798,2025-05-30 18:35:08.030160,2025-05-30 18:37:55.875183,0 days 00:02:47.845023,0.5532300974927398,1.9747266947042368,4.537197165229674,0.009722634672999234,10,35,239,0.8355991631863602,COMPLETE
20,0.9390706506602067,2025-05-30 18:35:13.603721,2025-05-30 18:36:07.428864,0 days 00:00:53.825143,0.9052741942674655,1.199478322892421,1.1316004108894018,0.015021405819881178,5,35,32,0.8646183744902294,COMPLETE
21,0.9408446317709768,2025-05-30 18:35:20.938762,2025-05-30 18:37:49.769297,0 days 00:02:28.830535,0.9555799867045258,4.449655061662879,1.3128663632048132,0.010959086589414104,15,16,50,0.6301065493217501,COMPLETE
22,0.9400960655329109,2025-05-30 18:35:38.111411,2025-05-30 18:36:21.155245,0 days 00:00:43.043834,0.5166982894321269,4.956269330276337,2.0082291005381356,0.011505926066220137,3,20,19,0.9054206491164543,COMPLETE
23,0.9398896050305512,2025-05-30 18:35:42.358295,2025-05-30 18:36:40.586485,0 days 00:00:58.228190,0.5117230766929486,4.9061559177328204,1.374542094448429,0.01093444110857507,3,27,30,0.7890676117534184,COMPLETE
24,0.947193467033135,2025-05-30 18:35:46.709153,2025-05-30 18:38:12.343001,0 days 00:02:25.633848,0.5001549396730197,3.431312162762189,1.4462425102092116,0.007372499481350407,16,30,28,0.7850743287223321,COMPLETE
25,0.9483299269751615,2025-05-30 18:36:07.428864,2025-05-30 18:38:26.478740,0 days 00:02:19.049876,0.5113765380886689,4.573905258723582,1.9730972499511026,0.00931899883810676,16,29,71,0.7783775166441974,COMPLETE
26,0.939015579934685,2025-05-30 18:36:17.400809,2025-05-30 18:37:17.141031,0 days 00:00:59.740222,0.5158867447202887,4.8105271670828955,1.926174884906806,0.005025948630781643,3,27,70,0.7720011981922439,COMPLETE
27,0.9495743841055824,2025-05-30 18:36:21.155245,2025-05-30 18:36:39.031249,0 days 00:00:17.876004,0.505060637258387,1.4738102796358163,2.011615907935761,0.13290253595134566,17,30,68,0.7889367261278714,COMPLETE
28,0.949089834838183,2025-05-30 18:36:22.378216,2025-05-30 18:38:58.057893,0 days 00:02:35.679677,0.5056287135383101,1.5990210640146345,1.8225445771793922,0.005150609436034432,17,29,76,0.7948154326698743,COMPLETE
29,0.9493175102545273,2025-05-30 18:36:25.108688,2025-05-30 18:36:52.578364,0 days 00:00:27.469676,0.5032013159978302,1.5035869372133122,1.9521306300919399,0.12646124115415502,18,28,75,0.7905677433121244,COMPLETE
30,0.9486239176704334,2025-05-30 18:36:27.433815,2025-05-30 18:39:02.399177,0 days 00:02:34.965362,0.5000708007225647,1.4269764116516337,1.9502064462976403,0.006178686454802613,18,29,81,0.7475075376977875,COMPLETE
31,0.9496915543561005,2025-05-30 18:36:39.047786,2025-05-30 18:36:59.089918,0 days 00:00:20.042132,0.5518472497451951,1.260887883727774,3.118887748482365,0.15451586146065244,18,29,82,0.7733839565565725,COMPLETE
32,0.9507296241535114,2025-05-30 18:36:40.586485,2025-05-30 18:37:09.887607,0 days 00:00:29.301122,0.5583378402546819,1.5745316230489674,2.0506585033038265,0.14295626295642863,18,30,81,0.7671040358344623,COMPLETE
33,0.9514528338448851,2025-05-30 18:36:52.580257,2025-05-30 18:37:18.506104,0 days 00:00:25.925847,0.5600121467045823,1.58893577013402,3.0903995718376263,0.14371238436128767,18,30,86,0.75749027523869,COMPLETE
34,0.9532146146318043,2025-05-30 18:36:59.089918,2025-05-30 18:37:17.749704,0 days 00:00:18.659786,0.5012064279122384,1.4926027400096067,3.1974719086891845,0.15849662777836063,17,31,69,0.7594727684003948,COMPLETE
35,0.9495288228160861,2025-05-30 18:37:09.887607,2025-05-30 18:39:09.065320,0 days 00:01:59.177713,0.5596444345798454,0.7842691765690031,3.0865276221598643,0.005074206951446959,17,31,54,0.7406442037478334,COMPLETE
36,0.9445030683532945,2025-05-30 18:37:17.144078,2025-05-30 18:37:40.779530,0 days 00:00:23.635452,0.6942461122589194,0.8076218170495539,3.05968514025675,0.15764449504301092,17,31,168,0.7123067906417619,COMPLETE
37,0.945432580145102,2025-05-30 18:37:17.752705,2025-05-30 18:37:36.652474,0 days 00:00:18.899769,0.6972141540143734,0.8620912533963321,3.1259000942589004,0.16084884194147422,15,32,170,0.7245487087213485,COMPLETE
38,0.9494645383488141,2025-05-30 18:37:18.508107,2025-05-30 18:37:40.331417,0 days 00:00:21.823310,0.6838061137808631,0.6806901726450163,4.245720719149447,0.17222200062907875,15,34,52,0.720236805732221,COMPLETE
39,0.9468611609871612,2025-05-30 18:37:36.654473,2025-05-30 18:38:11.774727,0 days 00:00:35.120254,0.5681587054877463,1.7326910566879001,4.425899594123245,0.054295309920116185,20,34,50,0.6537987596525416,COMPLETE
40,0.9492046855171287,2025-05-30 18:37:40.341434,2025-05-30 18:38:25.833506,0 days 00:00:45.492072,0.5625337346119685,1.7142994099976727,4.226117496921946,0.061310185685276214,20,31,96,0.6652132693024702,COMPLETE
41,0.9477191253518,2025-05-30 18:37:40.781574,2025-05-30 18:37:52.938181,0 days 00:00:12.156607,0.562570624446208,1.7190748322908855,4.242035271298734,0.2825973447869996,20,25,94,0.6532734350391255,COMPLETE
